      Celestine
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R040007
      Miyake M, Minato I, Morikawa H, Iwai S I
      American Mineralogist 63 (1978) 506-510
      Crystal structure and sulphate force constants of barite, celestite, and
      anglesite

      CELL PARAMETERS:   6.8693  8.3583  5.3510   90.000   90.000   90.000
      SPACE GROUP: Pbnm      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Sr     0.15830   0.18390   0.25000     1.000     0.829
            S      0.18530   0.43820   0.75000     1.000     0.569
            O      0.09300   0.59420   0.75000     1.000     1.759
            O      0.04190   0.30750   0.75000     1.000     1.407
            O      0.31080   0.42170   0.97460     1.000     1.036

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  6 +/-  7 +/-  4
            MAX. ABS. INTENSITY / VOLUME**2:      24.84132071    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                21.05          9.66        4.2214    1   0   1
                21.26          4.53        4.1792    0   2   0
                23.61         33.52        3.7681    1   1   1
                24.94          1.54        3.5703    1   2   0
                25.94         26.23        3.4346    2   0   0
                27.07         93.85        3.2937    0   2   1
                28.09         53.70        3.1769    2   1   0
                30.09        100.00        2.9699    1   2   1
                32.78         63.43        2.7317    2   1   1
                33.49         49.62        2.6755    0   0   2
                33.78          1.23        2.6535    2   2   0
                34.75          6.43        2.5818    1   3   0
                37.65          3.38        2.3891    1   1   2
                37.85         16.32        2.3773    2   2   1
                40.01         13.63        2.2533    0   2   2
                40.86          4.21        2.2084    3   1   0
                41.75          6.30        2.1637    2   3   0
                42.21         25.39        2.1410    1   2   2
                42.85          1.04        2.1107    2   0   2
                43.30          1.20        2.0896    0   4   0
                44.26         48.38        2.0464    2   1   2
                44.38         38.21        2.0414    3   1   1
                45.15          3.22        2.0081    3   2   0
                45.20         31.87        2.0059    2   3   1
                45.37         38.10        1.9991    1   4   0
                46.67         14.09        1.9464    0   4   1
                49.03          5.73        1.8579    1   3   2
                51.67         17.51        1.7690    3   3   0
                53.04          3.42        1.7264    1   0   3
                53.35          3.04        1.7173    4   0   0
                54.25          2.86        1.6907    1   1   3
                54.55          4.15        1.6822    4   1   0
                54.64          8.23        1.6796    3   3   1
                56.06          7.27        1.6405    0   2   3
                56.67          1.75        1.6243    1   5   0
                57.42          4.02        1.6048    4   1   1
                57.55         12.94        1.6015    1   4   2
                57.78          9.97        1.5956    1   2   3
                58.07          1.16        1.5884    4   2   0
                59.43         11.58        1.5553    2   1   3
                59.47          1.87        1.5542    1   5   1
                60.83          2.19        1.5228    4   2   1
                61.71          1.01        1.5031    2   5   0
                62.77          1.85        1.4803    2   2   3
                62.99         19.27        1.4756    3   3   2
                64.38          5.97        1.4471    2   5   1
                64.47          3.39        1.4452    4   0   2
                65.55          9.55        1.4241    4   1   2
                66.28          2.33        1.4102    4   3   1
                67.46          3.79        1.3884    1   5   2
                67.50          7.46        1.3876    3   1   3
                68.13          7.51        1.3763    2   3   3
                68.72          1.28        1.3659    4   2   2
                69.26          4.75        1.3566    0   4   3
                69.64          4.09        1.3501    3   5   0
                69.76          5.27        1.3481    0   6   1
                70.38          8.07        1.3377    0   0   4
                70.81          4.19        1.3307    5   0   1
                71.29          8.84        1.3229    1   6   1
                72.16          5.51        1.3091    3   5   1
                72.41          1.49        1.3051    5   2   0
                73.55          3.48        1.2878    4   4   1
                73.87          1.88        1.2829    4   3   2
                74.89          5.76        1.2680    5   2   1
                75.73          4.37        1.2560    3   3   3
                76.41          1.60        1.2465    2   0   4
                77.21          2.01        1.2356    0   6   2
                77.41          5.36        1.2329    2   1   4
                78.09          2.81        1.2238    4   1   3
                79.52         10.41        1.2054    3   5   2
                79.89          1.24        1.2008    5   3   1
                80.94          1.25        1.1878    1   3   4
                81.07          1.02        1.1862    4   2   3
                82.17          3.07        1.1730    5   2   2
                82.52          1.64        1.1689    4   5   1
                84.25          2.02        1.1494    2   5   3
                84.37          4.90        1.1480    5   4   0
                84.65          2.31        1.1449    6   0   0
                85.97          1.06        1.1307    4   3   3
                86.24          3.64        1.1278    2   7   0
                87.80          8.14        1.1118    1   4   4
                88.62          1.31        1.1036    2   7   1
                89.20          2.36        1.0979    0   6   3
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
